File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF001QBH	bam	bam		alignments	mm9	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF075VKE/, /files/ENCFF104UMI/	1171361713	John Stamatoyannopoulos, UW	6843684e9deb47dd733766e0c9ff9ba4		https://www.encodeproject.org/files/ENCFF001QBH/@@download/ENCFF001QBH.bam				archived	s3://encode-public/2011/05/06/b4569e12-fd8e-4817-8556-56c8c4fae381/ENCFF001QBH.bam	Lab custom mm9	archived	low read depth, low spot score		
ENCFF001QBO	bam	bam		alignments	mm9	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		3	3_1		36					/files/ENCFF444CGT/, /files/ENCFF756HSW/, /files/ENCFF747PGV/	1105359365	John Stamatoyannopoulos, UW	7de78ae9e37d13b5fb6c6850996c03a2		https://www.encodeproject.org/files/ENCFF001QBO/@@download/ENCFF001QBO.bam				archived	s3://encode-public/2011/05/06/1cde6007-49b1-4e63-8a0f-7da2ed6911a7/ENCFF001QBO.bam	Lab custom mm9	archived	low read depth, low spot score		
ENCFF001PAN	bam	bam		alignments	mm9	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF884ZLY/, /files/ENCFF919UQV/	15012287145	John Stamatoyannopoulos, UW	e9213866f5211a85060fdb95f983e49f		https://www.encodeproject.org/files/ENCFF001PAN/@@download/ENCFF001PAN.bam				archived	s3://encode-public/2012/05/01/9cb4426f-3a7c-450d-803c-7876678d6375/ENCFF001PAN.bam	Lab custom mm9	archived	low read depth, low spot score		
ENCFF001QBG	bam	bam		alignments	mm9	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF001QCJ/	1158602754	John Stamatoyannopoulos, UW	59922d3427cf5eedcef6c36b0d593bcd		https://www.encodeproject.org/files/ENCFF001QBG/@@download/ENCFF001QBG.bam				archived	s3://encode-public/2011/05/06/50cd0259-0ffb-45cb-8a7a-ff840a3cffc0/ENCFF001QBG.bam	Lab custom mm9	archived	low read depth, low spot score		
ENCFF445JMM	bam	bam		unfiltered alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF919UQV/, /files/ENCFF884ZLY/, /files/ENCFF001QCJ/, /files/ENCFF340HIY/	20070137139	ENCODE Processing Pipeline	36e054dec622d890916dcd7666a47a58		https://www.encodeproject.org/files/ENCFF445JMM/@@download/ENCFF445JMM.bam				released	s3://encode-public/2019/01/07/ed4ae9b2-c1b3-4369-8b18-e07808e26faa/ENCFF445JMM.bam	ENCODE3 mm10	archived	low read depth, low spot score		
ENCFF786INO	bam	bam		unfiltered alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		3	3_1		36					/files/ENCFF756HSW/, /files/ENCFF444CGT/, /files/ENCFF747PGV/, /files/ENCFF340HIY/	1434179580	ENCODE Processing Pipeline	8b96b37b6ec052e56e3696162a64da72		https://www.encodeproject.org/files/ENCFF786INO/@@download/ENCFF786INO.bam				released	s3://encode-public/2019/01/07/dc8d1019-c6ac-439f-9111-d66fc8076a35/ENCFF786INO.bam	ENCODE3 mm10	archived	low read depth, low spot score		
ENCFF316RFS	bam	bam		unfiltered alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF104UMI/, /files/ENCFF075VKE/, /files/ENCFF340HIY/	1603042554	ENCODE Processing Pipeline	6d235042ec1c6a90bf0ae1fd8e72fb03		https://www.encodeproject.org/files/ENCFF316RFS/@@download/ENCFF316RFS.bam				released	s3://encode-public/2019/01/07/54338d65-0fed-4202-bae2-df8751e5691c/ENCFF316RFS.bam	ENCODE3 mm10	archived	low read depth, low spot score		
ENCFF885OOU	bam	bam		alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		1	1_1		36					/files/ENCFF445JMM/	15831447159	ENCODE Processing Pipeline	f4c0901c009b2c5124e1efb9210fe4ec		https://www.encodeproject.org/files/ENCFF885OOU/@@download/ENCFF885OOU.bam				released	s3://encode-public/2019/01/07/576c7723-64f2-41c2-a0b5-d9a842e885e2/ENCFF885OOU.bam	ENCODE3 mm10	archived	low read depth, low spot score		
ENCFF941QBD	bam	bam		alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		2	2_1		36					/files/ENCFF316RFS/	1217357972	ENCODE Processing Pipeline	faad04a8fc61ffe789500bddd2febc85		https://www.encodeproject.org/files/ENCFF941QBD/@@download/ENCFF941QBD.bam				released	s3://encode-public/2019/01/07/ecb62053-0486-4d5e-965e-8b18e07eec20/ENCFF941QBD.bam	ENCODE3 mm10	archived	low read depth, low spot score		
ENCFF564FVK	bam	bam		alignments	mm10	ENCSR000COC	DNase-seq	/mouse-donors/ENCDO072AAA/	CL:0000792	CD4-positive, CD25-positive, alpha-beta regulatory T cell	primary cell	Mus musculus											DNA						2012-09-07	ENCODE		see document		3	3_1		36					/files/ENCFF786INO/	1151331207	ENCODE Processing Pipeline	09a121eb007abbd094c76a39059ba34c		https://www.encodeproject.org/files/ENCFF564FVK/@@download/ENCFF564FVK.bam				released	s3://encode-public/2019/01/07/2e3441b6-16f8-414d-8e23-25ec1f579a8b/ENCFF564FVK.bam	ENCODE3 mm10	archived	low read depth, low spot score		
