2021-07-23 14:40:12.663830	https://www.encodeproject.org/report/?type=Experiment&control_type%21=%2A&status=released&perturbed=false&replicates.library.biosample.donor.organism.scientific_name=Mus+musculus&files.file_type=bam&assembly=mm10&lab.title%21=Ross+Hardison%2C+PennState&assay_title=DNase-seq&assay_title=ATAC-seq&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates	Mixed biosamples
/experiments/ENCSR000COC/	ENCSR000COC	DNase-seq	DNase-seq			C57BL/6 CD4-positive, CD25-positive, alpha-beta regulatory T cell male adult (8 weeks)	CD4-positive, CD25-positive, alpha-beta regulatory T cell	GEO:GSM1014148,UCSC-ENCODE-mm9:wgEncodeEM001732,UCSC-ENCODE-mm9:wgEncodeEM002911	DNase-seq and DGF on 8 week mouse TReg	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001QBH/,/files/ENCFF001QBJ/,/files/ENCFF001QBK/,/files/ENCFF001QBM/,/files/ENCFF001QBN/,/files/ENCFF001QBO/,/files/ENCFF001QBV/,/files/ENCFF001QBX/,/files/ENCFF001YUD/,/files/ENCFF001YUE/,/files/ENCFF001YUG/,/files/ENCFF001YUH/,/files/ENCFF001OVY/,/files/ENCFF001OVZ/,/files/ENCFF001OXP/,/files/ENCFF001OXQ/,/files/ENCFF001PAN/,/files/ENCFF001QBG/,/files/ENCFF001QBI/,/files/ENCFF001QBL/,/files/ENCFF001QBU/,/files/ENCFF001QCJ/,/files/ENCFF001YLW/,/files/ENCFF001YLX/,/files/ENCFF001YUC/,/files/ENCFF001YUF/,/files/ENCFF075VKE/,/files/ENCFF884ZLY/,/files/ENCFF747PGV/,/files/ENCFF444CGT/,/files/ENCFF756HSW/,/files/ENCFF919UQV/,/files/ENCFF104UMI/,/files/ENCFF445JMM/,/files/ENCFF786INO/,/files/ENCFF316RFS/,/files/ENCFF441FHP/,/files/ENCFF192MYT/,/files/ENCFF191TTY/,/files/ENCFF240IVS/,/files/ENCFF313FBV/,/files/ENCFF885OOU/,/files/ENCFF897DIV/,/files/ENCFF999YZZ/,/files/ENCFF941QBD/,/files/ENCFF296JAJ/,/files/ENCFF564FVK/,/files/ENCFF802CWN/,/files/ENCFF141OGE/,/files/ENCFF833XNU/,/files/ENCFF879RHD/,/files/ENCFF175RCR/,/files/ENCFF590GML/,/files/ENCFF716LCU/,/files/ENCFF833QDR/,/files/ENCFF273GCC/,/files/ENCFF467IOT/,/files/ENCFF738ARU/,/files/ENCFF952RXR/,/files/ENCFF958WYT/,/files/ENCFF891ZUY/,/files/ENCFF071SBP/,/files/ENCFF887ALK/,/files/ENCFF188IPE/,/files/ENCFF067GEH/,/files/ENCFF661HUL/,/files/ENCFF890EAC/,/files/ENCFF316MXG/,/files/ENCFF550NKM/,/files/ENCFF050OOL/,/files/ENCFF010APW/,/files/ENCFF050PHV/,/files/ENCFF451FMO/,/files/ENCFF788OEO/,/files/ENCFF061ZZA/,/files/ENCFF384WPV/,/files/ENCFF476FUA/,/files/ENCFF040RLC/,/files/ENCFF158TRO/,/files/ENCFF495GES/,/files/ENCFF674MKO/,/files/ENCFF793UUY/,/files/ENCFF979FVA/,/files/ENCFF258KIR/,/files/ENCFF861NKW/,/files/ENCFF325NZW/,/files/ENCFF865ZRJ/,/files/ENCFF340VSC/,/files/ENCFF681KQR/,/files/ENCFF326ESZ/,/files/ENCFF968EOC/,/files/ENCFF396RBV/,/files/ENCFF844UCG/,/files/ENCFF306UFK/,/files/ENCFF933PAQ/,/files/ENCFF205HHY/		ENCBS773UHA,ENCBS109MNJ,ENCBS224ENC	2,3,1	1		Mus musculus	adult	8 weeks										/replicates/87f2cc6b-a478-42b1-ab06-62afecb9433f/,/replicates/c4ea4eb5-45d6-4769-9352-9e9df5e7ac5f/,/replicates/71e36e2d-af28-4129-a0e1-66ee9a5b38a9/	
/experiments/ENCSR000COD/	ENCSR000COD	DNase-seq	DNase-seq			C57BL/6 induced T-regulatory cell male adult (8 weeks)	induced T-regulatory cell	UCSC-ENCODE-mm9:wgEncodeEM002919,SCREEN-mm10:C57BL/6_induced_T-regulatory_cell_male_adult_8_weeks,GEO:GSM1014200,UCSC-ENCODE-mm9:wgEncodeEM003404	DNase-seq on 8 week mouse TReg-Activated	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001QBZ/,/files/ENCFF001QCB/,/files/ENCFF001QCD/,/files/ENCFF001QCK/,/files/ENCFF001QCS/,/files/ENCFF001YUJ/,/files/ENCFF001YUL/,/files/ENCFF001OXR/,/files/ENCFF001OXS/,/files/ENCFF001OYP/,/files/ENCFF001OYQ/,/files/ENCFF001PAQ/,/files/ENCFF001QBY/,/files/ENCFF001QCA/,/files/ENCFF001QCC/,/files/ENCFF001QCR/,/files/ENCFF001YLY/,/files/ENCFF001YLZ/,/files/ENCFF001YUI/,/files/ENCFF001YUK/,/files/ENCFF001QCL/,/files/ENCFF001QCM/,/files/ENCFF362DBC/,/files/ENCFF246WUR/,/files/ENCFF997BOE/,/files/ENCFF700SJI/,/files/ENCFF695AAR/,/files/ENCFF142WVS/,/files/ENCFF652FLG/,/files/ENCFF879WGP/,/files/ENCFF310RFP/,/files/ENCFF412AZT/,/files/ENCFF028KSI/,/files/ENCFF242YCJ/,/files/ENCFF597WFN/,/files/ENCFF182QMP/,/files/ENCFF911WMI/,/files/ENCFF549UMI/,/files/ENCFF251BCH/,/files/ENCFF937EWS/,/files/ENCFF982BLA/,/files/ENCFF996GBD/,/files/ENCFF263BUY/,/files/ENCFF540LTF/,/files/ENCFF827CIG/,/files/ENCFF332REK/,/files/ENCFF688NYD/,/files/ENCFF882ILJ/,/files/ENCFF095HMC/,/files/ENCFF679ZPS/,/files/ENCFF916UEW/,/files/ENCFF183HVZ/,/files/ENCFF373SVX/,/files/ENCFF576ZQF/,/files/ENCFF946ZBB/,/files/ENCFF874JYV/,/files/ENCFF269DNO/,/files/ENCFF992SCA/,/files/ENCFF635XFU/,/files/ENCFF831HMH/,/files/ENCFF832ION/,/files/ENCFF960IHM/,/files/ENCFF113HIP/,/files/ENCFF007AAH/,/files/ENCFF572CPT/,/files/ENCFF237OVF/,/files/ENCFF566TDU/,/files/ENCFF053EZE/,/files/ENCFF655ZQB/,/files/ENCFF136AWD/		ENCBS225ENC,ENCBS331SVX	1,2	1,2		Mus musculus	adult	8 weeks										/replicates/b71aef62-8221-4590-b127-8e0a2d8c6554/,/replicates/e3927ff4-a21d-47d4-9406-bf4bba76bce9/,/replicates/d950289d-2cd7-45cd-9b12-1b250f772496/	
/experiments/ENCSR000CMT/	ENCSR000CMT	DNase-seq	DNase-seq			CD-1 c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells male embryo (14.5 days)	c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells	GEO:GSM1014158,UCSC-ENCODE-mm9:wgEncodeEM003413,SCREEN-mm10:CD-1_c-Kit-positive_CD71-positive_TER-119-negative_erythroid_progenitor_cells_male_embryo_14.5_days	DNase-seq on embryonic day 14.5 mouse EPC (CD117+ CD71+ TER119-) strain is CD-2	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PHN/,/files/ENCFF001PHO/,/files/ENCFF001PHP/,/files/ENCFF001PHS/,/files/ENCFF001PHX/,/files/ENCFF001YOA/,/files/ENCFF001YOB/,/files/ENCFF001PHR/,/files/ENCFF001PHQ/,/files/ENCFF531PJN/,/files/ENCFF167DZH/,/files/ENCFF193YRJ/,/files/ENCFF932VBI/,/files/ENCFF502BZT/,/files/ENCFF877FIK/,/files/ENCFF839TUF/,/files/ENCFF454JBW/,/files/ENCFF025RNU/,/files/ENCFF668FFK/,/files/ENCFF230ZBI/,/files/ENCFF702OJP/,/files/ENCFF989QDZ/,/files/ENCFF680ZTZ/,/files/ENCFF160CLI/,/files/ENCFF822KIR/,/files/ENCFF595JYF/,/files/ENCFF144ZCM/,/files/ENCFF279HTN/,/files/ENCFF270PVF/,/files/ENCFF705CGC/,/files/ENCFF285TPC/,/files/ENCFF117PLK/,/files/ENCFF175BCB/,/files/ENCFF026ZHZ/,/files/ENCFF842TRK/,/files/ENCFF666KJA/,/files/ENCFF215CPX/,/files/ENCFF596OKT/		ENCBS026ENC	1	1		Mus musculus	embryonic	14.5 days										/replicates/fc07015b-f5e5-48c4-8b40-e9efe89cda23/	
/experiments/ENCSR000CMS/	ENCSR000CMS	DNase-seq	DNase-seq			CD-1 c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells male embryo (14.5 days)	c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells	UCSC-ENCODE-mm9:wgEncodeEM003414,SCREEN-mm10:CD-1_c-Kit-positive_CD71-negative_TER-119-negative_erythroid_progenitor_cells_male_embryo_14.5_days,GEO:GSM1014155	DNase-seq on embryonic day 14.5 mouse EPC (CD117+ CD71- TER119-) strain is CD-3	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PHG/,/files/ENCFF001PHH/,/files/ENCFF001PHI/,/files/ENCFF001PHL/,/files/ENCFF001PHM/,/files/ENCFF001YNY/,/files/ENCFF001YNZ/,/files/ENCFF001PHJ/,/files/ENCFF001PHK/,/files/ENCFF447ZAW/,/files/ENCFF336PFW/,/files/ENCFF817BGK/,/files/ENCFF388NWY/,/files/ENCFF536BTJ/,/files/ENCFF248YLW/,/files/ENCFF063EHX/,/files/ENCFF693RMD/,/files/ENCFF369DFU/,/files/ENCFF441UHJ/,/files/ENCFF323BKX/,/files/ENCFF934XTC/,/files/ENCFF241APC/,/files/ENCFF308BAB/,/files/ENCFF693KEF/,/files/ENCFF681UWF/,/files/ENCFF175EDF/,/files/ENCFF396PER/,/files/ENCFF220MSS/,/files/ENCFF732PQC/,/files/ENCFF443PWY/,/files/ENCFF517HKD/,/files/ENCFF655TMK/,/files/ENCFF568CNR/,/files/ENCFF613GTZ/,/files/ENCFF500PRL/,/files/ENCFF123LFS/,/files/ENCFF271OYS/,/files/ENCFF671WJP/		ENCBS027ENC	1	1		Mus musculus	embryonic	14.5 days										/replicates/05cb15af-912d-47d3-8ec6-2bc8812f72cc/	
/experiments/ENCSR000CMQ/	ENCSR000CMQ	DNase-seq	DNase-seq			B10.H-2aH-4bp/Wts CH12.LX	CH12.LX	GEO:GSM1014153,UCSC-ENCODE-mm9:wgEncodeEM003416,SCREEN-mm10:B10.H-2aH-4bp/Wts_CH12.LX	DNase on mouse CH12.LX cell line	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PGD/,/files/ENCFF001PGE/,/files/ENCFF001PGG/,/files/ENCFF001PGH/,/files/ENCFF001PGI/,/files/ENCFF001PGJ/,/files/ENCFF001PGR/,/files/ENCFF001PGU/,/files/ENCFF001PGV/,/files/ENCFF001PGW/,/files/ENCFF001YNS/,/files/ENCFF001YNT/,/files/ENCFF001YNU/,/files/ENCFF001YNV/,/files/ENCFF001PGO/,/files/ENCFF001PGT/,/files/ENCFF001PGN/,/files/ENCFF001PGL/,/files/ENCFF001PGM/,/files/ENCFF001PGK/,/files/ENCFF001PGQ/,/files/ENCFF001PGP/,/files/ENCFF001PGS/,/files/ENCFF036VHJ/,/files/ENCFF322CQQ/,/files/ENCFF034EMF/,/files/ENCFF934HUD/,/files/ENCFF701WWQ/,/files/ENCFF042QOF/,/files/ENCFF662LMH/,/files/ENCFF310ZBP/,/files/ENCFF941TRG/,/files/ENCFF160IAL/,/files/ENCFF682CTY/,/files/ENCFF595RRO/,/files/ENCFF470BCS/,/files/ENCFF113CTN/,/files/ENCFF518OHJ/,/files/ENCFF187JJO/,/files/ENCFF398NUX/,/files/ENCFF258NBN/,/files/ENCFF401OCY/,/files/ENCFF783CKM/,/files/ENCFF961FAT/,/files/ENCFF117BGZ/,/files/ENCFF472YPW/,/files/ENCFF481CVD/,/files/ENCFF315JOG/,/files/ENCFF060KTN/,/files/ENCFF171VHB/,/files/ENCFF707DWX/,/files/ENCFF228LWM/,/files/ENCFF855RCO/,/files/ENCFF732WTE/,/files/ENCFF724TED/,/files/ENCFF910JKE/,/files/ENCFF690GXF/,/files/ENCFF682RGY/,/files/ENCFF578APN/,/files/ENCFF909PZR/,/files/ENCFF795ZAC/,/files/ENCFF663OHT/,/files/ENCFF039QXN/,/files/ENCFF690PSJ/,/files/ENCFF097ZWV/,/files/ENCFF225HWB/,/files/ENCFF047YRB/,/files/ENCFF998ZEB/,/files/ENCFF342WJY/,/files/ENCFF807CKC/,/files/ENCFF607ACN/,/files/ENCFF668NSZ/,/files/ENCFF397ODJ/,/files/ENCFF334UEX/,/files/ENCFF591CCX/,/files/ENCFF655OXD/,/files/ENCFF339XDI/,/files/ENCFF402SEJ/,/files/ENCFF020FWC/,/files/ENCFF405CQT/,/files/ENCFF305BHZ/,/files/ENCFF612PCP/,/files/ENCFF732TUK/	/reference-epigenomes/ENCSR835OVT/	ENCBS824VDB,ENCBS777FXN	1,2	1		Mus musculus	unknown											/replicates/9d39d094-8750-4511-a1eb-c7dfa1e8326b/,/replicates/4486a330-4147-47dd-add4-3559adab5df0/	
/experiments/ENCSR000CMU/	ENCSR000CMU	DNase-seq	DNase-seq			CD-1 c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)	c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells	UCSC-ENCODE-mm9:wgEncodeEM003412,SCREEN-mm10:CD-1_c-Kit-positive_CD71-positive_TER-119-positive_erythroid_progenitor_cells_male_embryo_14.5_days,GEO:GSM1014157	DNase-seq on embryonic day 14.5 mouse EPC (CD117+ CD71+ TER119+) strain is CD-1	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PHT/,/files/ENCFF001PHU/,/files/ENCFF001PHV/,/files/ENCFF001PIB/,/files/ENCFF001PIG/,/files/ENCFF001YOC/,/files/ENCFF001YOD/,/files/ENCFF001PHW/,/files/ENCFF001PHY/,/files/ENCFF001PHZ/,/files/ENCFF001PIA/,/files/ENCFF862WTQ/,/files/ENCFF518QWQ/,/files/ENCFF041TGX/,/files/ENCFF192YVC/,/files/ENCFF826ZTD/,/files/ENCFF532NIY/,/files/ENCFF850FOU/,/files/ENCFF781TKY/,/files/ENCFF125JPE/,/files/ENCFF106WLE/,/files/ENCFF989QZV/,/files/ENCFF348GIC/,/files/ENCFF649DYS/,/files/ENCFF211YKV/,/files/ENCFF410UOM/,/files/ENCFF410IHZ/,/files/ENCFF936PRY/,/files/ENCFF420QSO/,/files/ENCFF934JEU/,/files/ENCFF543PMB/,/files/ENCFF773RIS/,/files/ENCFF132DNE/,/files/ENCFF611GZO/,/files/ENCFF050LMP/,/files/ENCFF258WBP/,/files/ENCFF836VBR/,/files/ENCFF305CVD/,/files/ENCFF689PKR/,/files/ENCFF967LXR/		ENCBS025ENC	1	1		Mus musculus	embryonic	14.5 days										/replicates/3525aba1-3e82-4896-9639-0119ba0d227d/	
/experiments/ENCSR000CNF/	ENCSR000CNF	DNase-seq	DNase-seq			CD-1 hindlimb bud tissue male embryo (11.5 days)	hindlimb bud	SCREEN-mm10:CD-1_hindlimb_bud_male_embryo_11.5_days,UCSC-ENCODE-mm9:wgEncodeEM001934,GEO:GSM1014179	DNase on 11.5 day (e11.5) embryonic mouse hindlimb buds	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PMK/,/files/ENCFF001PML/,/files/ENCFF001PMM/,/files/ENCFF001PMN/,/files/ENCFF001PMO/,/files/ENCFF001PMP/,/files/ENCFF001PMR/,/files/ENCFF001PMS/,/files/ENCFF001PMT/,/files/ENCFF001PNR/,/files/ENCFF001YPO/,/files/ENCFF001YPP/,/files/ENCFF001YPQ/,/files/ENCFF001YPR/,/files/ENCFF001PMQ/,/files/ENCFF870UDT/,/files/ENCFF415WUE/,/files/ENCFF693KYZ/,/files/ENCFF546EFE/,/files/ENCFF181GLY/,/files/ENCFF903RJJ/,/files/ENCFF936ZNK/,/files/ENCFF382ANK/,/files/ENCFF215DZU/,/files/ENCFF527RBQ/,/files/ENCFF516NSV/,/files/ENCFF587QWX/,/files/ENCFF938HZO/,/files/ENCFF793TTN/,/files/ENCFF364XMO/,/files/ENCFF960CAM/,/files/ENCFF400GFW/,/files/ENCFF369MSI/,/files/ENCFF327VNV/,/files/ENCFF070ZRI/,/files/ENCFF192OMN/,/files/ENCFF987ATX/,/files/ENCFF501KIE/,/files/ENCFF833MSQ/,/files/ENCFF665BZL/,/files/ENCFF004YMT/,/files/ENCFF104XCA/,/files/ENCFF196JNE/,/files/ENCFF082CPY/,/files/ENCFF140XHO/,/files/ENCFF037VPV/,/files/ENCFF291UZJ/,/files/ENCFF682BUK/,/files/ENCFF499MNV/,/files/ENCFF663LBP/,/files/ENCFF147CJE/,/files/ENCFF945CPQ/,/files/ENCFF103UQE/,/files/ENCFF406JKE/,/files/ENCFF143WWI/,/files/ENCFF908VUD/,/files/ENCFF262NNB/,/files/ENCFF762PUE/,/files/ENCFF246DAU/,/files/ENCFF662IDY/,/files/ENCFF434CHP/,/files/ENCFF623REH/,/files/ENCFF440HGV/,/files/ENCFF819ZGZ/,/files/ENCFF709VYU/,/files/ENCFF186HOX/,/files/ENCFF197STF/,/files/ENCFF260KBJ/,/files/ENCFF858MLT/,/files/ENCFF445MZL/,/files/ENCFF777JLL/,/files/ENCFF984NQH/,/files/ENCFF381VHS/,/files/ENCFF962UMU/		ENCBS752MTX,ENCBS236ENC	2,1	1		Mus musculus	embryonic	11.5 days										/replicates/873a1953-2812-46f0-8561-ebc12b6839f8/,/replicates/49ff31ee-7267-4749-ab85-6b85fa240e38/	
/experiments/ENCSR000CNO/	ENCSR000CNO	DNase-seq	DNase-seq			CD-1 mesoderm tissue male embryo (11.5 days)	mesoderm	UCSC-ENCODE-mm9:wgEncodeEM001935,SCREEN-mm10:CD-1_mesoderm_male_embryo_11.5_days,GEO:GSM1014178	DNase-seq on E11.5 mouse meesoderm CD-1 strain	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PUN/,/files/ENCFF001PUO/,/files/ENCFF001PUP/,/files/ENCFF001PUQ/,/files/ENCFF001PUR/,/files/ENCFF001PUT/,/files/ENCFF001PUV/,/files/ENCFF001PUW/,/files/ENCFF001PUX/,/files/ENCFF001PUY/,/files/ENCFF001YSA/,/files/ENCFF001YSB/,/files/ENCFF001YSC/,/files/ENCFF001YSD/,/files/ENCFF001PUS/,/files/ENCFF001PUU/,/files/ENCFF522QQT/,/files/ENCFF052NJW/,/files/ENCFF031QYX/,/files/ENCFF155EYL/,/files/ENCFF696LZB/,/files/ENCFF767LQY/,/files/ENCFF316SGV/,/files/ENCFF065NZC/,/files/ENCFF845CTU/,/files/ENCFF074QJY/,/files/ENCFF762PCE/,/files/ENCFF363UKX/,/files/ENCFF315DJU/,/files/ENCFF590IWJ/,/files/ENCFF686IWN/,/files/ENCFF344WXM/,/files/ENCFF609DAY/,/files/ENCFF562FNA/,/files/ENCFF794FBJ/,/files/ENCFF035UGY/,/files/ENCFF175GWF/,/files/ENCFF307CSJ/,/files/ENCFF993FTH/,/files/ENCFF145WQR/,/files/ENCFF546UEP/,/files/ENCFF385NNQ/,/files/ENCFF229PFL/,/files/ENCFF439CAC/,/files/ENCFF524QEM/,/files/ENCFF673VVB/,/files/ENCFF541LMO/,/files/ENCFF796GNG/,/files/ENCFF242CEL/,/files/ENCFF931RZC/,/files/ENCFF116FNU/,/files/ENCFF702JTZ/,/files/ENCFF597PUX/,/files/ENCFF158KKT/,/files/ENCFF740UOA/,/files/ENCFF078FWK/,/files/ENCFF467HGC/,/files/ENCFF010TKY/,/files/ENCFF799RXN/,/files/ENCFF620KDN/,/files/ENCFF252RQQ/,/files/ENCFF259QCY/,/files/ENCFF837IVC/,/files/ENCFF177JEO/,/files/ENCFF153LXO/,/files/ENCFF617QIH/,/files/ENCFF972JKM/,/files/ENCFF623GQZ/,/files/ENCFF818VHL/,/files/ENCFF132BNF/,/files/ENCFF450HKP/,/files/ENCFF243GJP/,/files/ENCFF432NJH/,/files/ENCFF222MOP/,/files/ENCFF206TTA/,/files/ENCFF918BUN/		ENCBS237ENC,ENCBS562ZKV	1,2	1		Mus musculus	embryonic	11.5 days										/replicates/4c13673b-1733-42d0-b49d-ca35e38224c5/,/replicates/bee682e9-53a5-4785-8e09-037f55d98b63/	
/experiments/ENCSR000CNY/	ENCSR000CNY	DNase-seq	DNase-seq			C57BL/6 spleen tissue male adult (8 weeks)	spleen	SCREEN-mm10:C57BL/6_spleen_male_adult_8_weeks,UCSC-ENCODE-mm9:wgEncodeEM003394,GEO:GSM1014182	DNase on 8 week adult mouse spleen	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PYU/,/files/ENCFF001PYV/,/files/ENCFF001PYW/,/files/ENCFF001PYX/,/files/ENCFF001PYY/,/files/ENCFF001PYZ/,/files/ENCFF001PZC/,/files/ENCFF001PZE/,/files/ENCFF001PZF/,/files/ENCFF001PZG/,/files/ENCFF001YTI/,/files/ENCFF001YTJ/,/files/ENCFF001YTK/,/files/ENCFF001YTL/,/files/ENCFF001PZA/,/files/ENCFF001PZB/,/files/ENCFF001PZD/,/files/ENCFF688HMS/,/files/ENCFF929LHZ/,/files/ENCFF960SLG/,/files/ENCFF980VGJ/,/files/ENCFF530NUU/,/files/ENCFF461AGB/,/files/ENCFF546IZS/,/files/ENCFF030LYJ/,/files/ENCFF959HCD/,/files/ENCFF583JIY/,/files/ENCFF094BJN/,/files/ENCFF688RVF/,/files/ENCFF498LIA/,/files/ENCFF141SUG/,/files/ENCFF277JLM/,/files/ENCFF147UIS/,/files/ENCFF603QGI/,/files/ENCFF513GZQ/,/files/ENCFF228SQB/,/files/ENCFF268XVK/,/files/ENCFF958HGH/,/files/ENCFF437YYH/,/files/ENCFF296ZKR/,/files/ENCFF517MJD/,/files/ENCFF254VDF/,/files/ENCFF217HXJ/,/files/ENCFF348XBI/,/files/ENCFF264XLS/,/files/ENCFF594VOX/,/files/ENCFF094NJG/,/files/ENCFF673ZWH/,/files/ENCFF044PMR/,/files/ENCFF261COB/,/files/ENCFF546FZT/,/files/ENCFF575PUN/,/files/ENCFF086JBE/,/files/ENCFF553EPA/,/files/ENCFF657DTV/,/files/ENCFF900XNV/,/files/ENCFF231CGG/,/files/ENCFF405LHL/,/files/ENCFF057AZJ/,/files/ENCFF596EUN/,/files/ENCFF368EEC/,/files/ENCFF731FZA/,/files/ENCFF420BHC/,/files/ENCFF214BNR/,/files/ENCFF343KXE/,/files/ENCFF390GTL/,/files/ENCFF121DBM/,/files/ENCFF905TFR/,/files/ENCFF514QGG/,/files/ENCFF902MRU/,/files/ENCFF191QXT/,/files/ENCFF137JCJ/,/files/ENCFF064GKF/,/files/ENCFF916ZPX/,/files/ENCFF925HFX/,/files/ENCFF158BGE/,/files/ENCFF088EAW/	/reference-epigenomes/ENCSR902FHL/	ENCBS498IIE,ENCBS219ENC	2,1	1		Mus musculus	adult	8 weeks										/replicates/ab395238-6d98-49a1-80a2-bcc5c5888c0b/,/replicates/c7058e3d-5def-4cb5-b522-512ec6cc68bd/	
/experiments/ENCSR000CMP/	ENCSR000CMP	DNase-seq	DNase-seq			C57BL/6 telencephalon tissue male adult (8 weeks)	telencephalon	UCSC-ENCODE-mm9:wgEncodeEM001718,GEO:GSM1014168,SCREEN-mm10:C57BL/6_telencephalon_male_adult_8_weeks	DNase on 8 week adult mouse cerebrum	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001PFO/,/files/ENCFF001PFP/,/files/ENCFF001PFR/,/files/ENCFF001PFS/,/files/ENCFF001PFT/,/files/ENCFF001PFU/,/files/ENCFF001PFV/,/files/ENCFF001PFW/,/files/ENCFF001PFX/,/files/ENCFF001PFY/,/files/ENCFF001PFZ/,/files/ENCFF001PGA/,/files/ENCFF001PGB/,/files/ENCFF001PGC/,/files/ENCFF001PGF/,/files/ENCFF001YNM/,/files/ENCFF001YNN/,/files/ENCFF001YNO/,/files/ENCFF001YNP/,/files/ENCFF001YNQ/,/files/ENCFF001YNR/,/files/ENCFF815WIA/,/files/ENCFF646LXI/,/files/ENCFF413ZWP/,/files/ENCFF554QVV/,/files/ENCFF652SDN/,/files/ENCFF344DAH/,/files/ENCFF925ZFW/,/files/ENCFF673QYR/,/files/ENCFF181FUC/,/files/ENCFF691WXC/,/files/ENCFF052PVE/,/files/ENCFF488RDI/,/files/ENCFF724TSB/,/files/ENCFF359OPB/,/files/ENCFF651GWW/,/files/ENCFF229FIV/,/files/ENCFF922RPG/,/files/ENCFF114OAK/,/files/ENCFF942OII/,/files/ENCFF358LPG/,/files/ENCFF949PEZ/,/files/ENCFF846CBV/,/files/ENCFF554LDN/,/files/ENCFF344LQN/,/files/ENCFF067MRG/,/files/ENCFF982VXT/,/files/ENCFF353ORG/,/files/ENCFF980ZUC/,/files/ENCFF371DLR/,/files/ENCFF801NNI/,/files/ENCFF542ESG/,/files/ENCFF908TRS/,/files/ENCFF411UNL/,/files/ENCFF248SKF/,/files/ENCFF991ZND/,/files/ENCFF805XIF/,/files/ENCFF925ETS/,/files/ENCFF158MCF/,/files/ENCFF504NUS/,/files/ENCFF519BZG/,/files/ENCFF410RPA/,/files/ENCFF742FPJ/,/files/ENCFF466HZM/,/files/ENCFF098NMB/,/files/ENCFF623DXR/,/files/ENCFF711VTL/,/files/ENCFF238ZRM/,/files/ENCFF395AJZ/,/files/ENCFF093HBO/,/files/ENCFF978SLG/,/files/ENCFF092EEU/,/files/ENCFF370NIX/,/files/ENCFF795BFG/,/files/ENCFF763FOS/,/files/ENCFF948GVM/,/files/ENCFF679ZME/,/files/ENCFF229HDP/,/files/ENCFF164QVH/,/files/ENCFF276PTX/,/files/ENCFF187HWU/,/files/ENCFF933VAM/,/files/ENCFF231ETO/,/files/ENCFF449JXB/,/files/ENCFF195LMP/,/files/ENCFF634SJZ/,/files/ENCFF740BTF/,/files/ENCFF738EWJ/,/files/ENCFF452KTJ/,/files/ENCFF838VTK/,/files/ENCFF591NRJ/,/files/ENCFF233EWA/,/files/ENCFF450IWM/,/files/ENCFF969EMQ/,/files/ENCFF993PGV/,/files/ENCFF240LMN/,/files/ENCFF536FVK/,/files/ENCFF828LXU/,/files/ENCFF230XRP/,/files/ENCFF829VAC/,/files/ENCFF190RAX/,/files/ENCFF102CVV/,/files/ENCFF125SKT/,/files/ENCFF875GAL/,/files/ENCFF922GWM/,/files/ENCFF060QMN/,/files/ENCFF742LIO/,/files/ENCFF314HTF/,/files/ENCFF946AXM/,/files/ENCFF874JCX/,/files/ENCFF296DMP/		ENCBS573IVI,ENCBS316BIW,ENCBS186ENC	2,3,1	1		Mus musculus	adult	8 weeks										/replicates/4983aaff-fbdc-4026-8d93-ab2e90846fd2/,/replicates/8cc5e46a-5003-41ac-82ae-15c3711a7bb1/,/replicates/4aacebff-2bca-4967-8aac-31abff82a274/	
